trim,educ,posicao_inicial,posicao_final,transition
2015_4,1,1,2,0.12756617595787284
2015_4,1,1,3,0.04699898562334653
2015_4,1,1,4,0.022937499531301062
2015_4,1,2,1,0.10245048705257521
2015_4,1,2,2,0.7164142498298152
2015_4,1,2,3,0.13366937492656714
2015_4,1,2,4,0.04746588819104248
2015_4,1,3,1,0.008066333526242512
2015_4,1,3,2,0.04147749463918094
2015_4,1,3,3,0.9252656132192699
2015_4,1,3,4,0.02519055861530657
2015_4,1,4,1,0.07590472725328648
2015_4,1,4,2,0.19491105683543225
2015_4,1,4,3,0.34907963557402466
2015_4,1,4,4,0.38010458033725664
2016_1,1,1,1,0.8138881012005741
2016_1,1,1,2,0.11815438935268656
2016_1,1,1,3,0.045239668742496825
2016_1,1,1,4,0.022717840704242504
2016_1,1,2,1,0.10913015283152384
2016_1,1,2,2,0.7054217460272889
2016_1,1,2,3,0.13897256204130165
2016_1,1,2,4,0.04647553909988562
2016_1,1,3,1,0.008322829002114186
2016_1,1,3,2,0.04299398834201128
2016_1,1,3,3,0.9221872128227395
2016_1,1,3,4,0.02649596983313503
2016_1,1,4,1,0.0703453217896972
2016_1,1,4,2,0.21905496789517
2016_1,1,4,3,0.3363641310397508
2016_1,1,4,4,0.3742355792753819
2016_2,1,1,1,0.8176123833972275
2016_2,1,1,2,0.11634088257307344
2016_2,1,1,3,0.04407303430683688
2016_2,1,1,4,0.02197369972286213
2016_2,1,2,1,0.10483688720849989
2016_2,1,2,2,0.7035808199571371
2016_2,1,2,3,0.14085499611119562
2016_2,1,2,4,0.05072729672316744
2016_2,1,3,1,0.008271248721816104
2016_2,1,3,2,0.03750609361031867
2016_2,1,3,3,0.9271765235616183
2016_2,1,3,4,0.02704613410624698
2016_2,1,4,1,0.0660557035835568
2016_2,1,4,2,0.1940240360846254
2016_2,1,4,3,0.3500862804859051
2016_2,1,4,4,0.3898339798459127
2016_3,1,1,1,0.815451830619736
2016_3,1,1,2,0.11511136079135988
2016_3,1,1,3,0.045194500991527456
2016_3,1,1,4,0.024242307597376597
2016_3,1,2,1,0.09711145540752747
2016_3,1,2,2,0.7183299387495269
2016_3,1,2,3,0.1325948162868664
2016_3,1,2,4,0.051963789556079255
2016_3,1,3,1,0.007912753384731361
2016_3,1,3,2,0.03618716035521788
2016_3,1,3,3,0.928536074220832
2016_3,1,3,4,0.027364012039218854
2016_3,1,4,1,0.06508671758634968
2016_3,1,4,2,0.18775351948377578
2016_3,1,4,3,0.31986824257176016
2016_3,1,4,4,0.4272915203581144
2016_4,1,1,1,0.8147937179803908
2016_4,1,1,2,0.11510460232726415
2016_4,1,1,3,0.04784329417547362
2016_4,1,1,4,0.022258385516871423
2016_4,1,2,1,0.10023513324011202
2016_4,1,2,2,0.7043199200910496
2016_4,1,2,3,0.13482923527275587
2016_4,1,2,4,0.06061571139608251
2016_4,1,3,1,0.006960499009945048
2016_4,1,3,2,0.03469339002967345
2016_4,1,3,3,0.9286984529635237
2016_4,1,3,4,0.0296476579968578
2016_4,1,4,1,0.05542014526424423
2016_4,1,4,2,0.18910256776442166
2016_4,1,4,3,0.32249747779947346
2016_4,1,4,4,0.43297980917186063
2017_1,1,1,1,0.8253261218778752
2017_1,1,1,2,0.10686086176478869
2017_1,1,1,3,0.04442678885636515
2017_1,1,1,4,0.023386227500970885
2017_1,1,2,1,0.09894043674198534
2017_1,1,2,2,0.7231807038826159
2017_1,1,2,3,0.12547971968292246
2017_1,1,2,4,0.05239913969247624
2017_1,1,3,1,0.008138810636306209
2017_1,1,3,2,0.03738199009428107
2017_1,1,3,3,0.9253119961709314
2017_1,1,3,4,0.029167203098481257
2017_1,1,4,1,0.05777077125150353
2017_1,1,4,2,0.1952446277120819
2017_1,1,4,3,0.31445608847280765
2017_1,1,4,4,0.43252851256360697
2017_2,1,1,1,0.8238870311107325
2017_2,1,1,2,0.11418115467872303
2017_2,1,1,3,0.03921038508801766
2017_2,1,1,4,0.022721429122526813
2017_2,1,2,1,0.10349875263238721
2017_2,1,2,2,0.7183662039628984
2017_2,1,2,3,0.12397434892933629
2017_2,1,2,4,0.05416069447537814
2017_2,1,3,1,0.0073480908105320744
2017_2,1,3,2,0.038849498698546724
2017_2,1,3,3,0.9257238444321735
2017_2,1,3,4,0.02807856605874769
2017_2,1,4,1,0.06188423344632203
2017_2,1,4,2,0.20582027440075262
2017_2,1,4,3,0.3183795830733283
2017_2,1,4,4,0.413915909079597
2017_3,1,1,1,0.8228366546151271
2017_3,1,1,2,0.11255355288433054
2017_3,1,1,3,0.0426296854211915
2017_3,1,1,4,0.021980107079350802
2017_3,1,2,1,0.09888222172860735
2017_3,1,2,2,0.7274535773930503
2017_3,1,2,3,0.12280897470474268
2017_3,1,2,4,0.05085522617359964
2017_3,1,3,1,0.006336941976499499
2017_3,1,3,2,0.03625565397034117
2017_3,1,3,3,0.9297116238752284
2017_3,1,3,4,0.027695780177930875
2017_3,1,4,1,0.056944346261084064
2017_3,1,4,2,0.19964790297294652
2017_3,1,4,3,0.3423637185564645
2017_3,1,4,4,0.40104403220950485
2017_4,1,1,1,0.8243332820057088
2017_4,1,1,2,0.10881787678169036
2017_4,1,1,3,0.04085205916818258
2017_4,1,1,4,0.025996782044418285
2017_4,1,2,1,0.09291786402378743
2017_4,1,2,2,0.72159294560145
2017_4,1,2,3,0.13029365568681295
2017_4,1,2,4,0.05519553468794963
2017_4,1,3,1,0.0063170978748972656
2017_4,1,3,2,0.035193534418623405
2017_4,1,3,3,0.9299374935003991
2017_4,1,3,4,0.028551874206080196
2017_4,1,4,1,0.04647644557481086
2017_4,1,4,2,0.17575493534161443
2017_4,1,4,3,0.3265084603318408
2017_4,1,4,4,0.4512601587517339
2018_1,1,1,1,0.8369567358757974
2018_1,1,1,2,0.10610609628428515
2018_1,1,1,3,0.03685679452688817
2018_1,1,1,4,0.02008037331302923
2018_1,1,2,1,0.0970438916142262
2018_1,1,2,2,0.716363834966106
2018_1,1,2,3,0.13128788635904423
2018_1,1,2,4,0.05530438706062361
2018_1,1,3,1,0.007145692007807669
2018_1,1,3,2,0.03472753448015266
2018_1,1,3,3,0.9311679232969785
2018_1,1,3,4,0.026958850215061114
2018_1,1,4,1,0.05602432937586362
